time,class,AOI,xmax,xmin,ymax,ymin
174.047348,2,side mirror,tensor(1908.1868),tensor(1670.5884),tensor(498.9042),tensor(353.4258)
174.047348,0,speed,tensor(1310.0522),tensor(1185.4879),tensor(578.0330),tensor(476.4706)
174.08742047780467,2,side mirror,tensor(1908.5588),tensor(1670.7861),tensor(501.4926),tensor(352.6189)
174.08742047780467,0,speed,tensor(1311.3182),tensor(1188.4072),tensor(577.0624),tensor(474.3934)
174.12749295560937,2,side mirror,tensor(1907.9429),tensor(1671.2695),tensor(500.6570),tensor(354.0742)
174.12749295560937,0,speed,tensor(1310.7478),tensor(1192.1918),tensor(571.1549),tensor(472.1209)
174.12749295560937,1,reer mirror,tensor(1130.8477),tensor(813.8049),tensor(337.0944),tensor(229.6381)
174.16756543341404,2,side mirror,tensor(1905.3556),tensor(1671.9844),tensor(499.4686),tensor(353.4581)
174.16756543341404,0,speed,tensor(1318.1758),tensor(1192.1384),tensor(567.9161),tensor(469.4899)
174.2076379112187,2,side mirror,tensor(1906.9039),tensor(1672.4469),tensor(498.0656),tensor(352.8563)
174.2076379112187,0,speed,tensor(1314.7552),tensor(1192.8334),tensor(565.7289),tensor(470.4620)
174.2076379112187,1,reer mirror,tensor(1127.7683),tensor(820.7822),tensor(339.7464),tensor(228.7490)
174.2477103890234,2,side mirror,tensor(1908.3215),tensor(1672.1722),tensor(500.0830),tensor(352.5408)
174.2477103890234,0,speed,tensor(1312.0448),tensor(1190.7249),tensor(563.1298),tensor(472.0713)
174.2477103890234,1,reer mirror,tensor(1130.7715),tensor(810.7634),tensor(342.0139),tensor(228.3445)
174.28778286682808,2,side mirror,tensor(1908.8529),tensor(1672.6117),tensor(501.2594),tensor(354.7688)
174.28778286682808,0,speed,tensor(1314.1699),tensor(1191.5038),tensor(562.0311),tensor(472.0291)
174.32785534463278,2,side mirror,tensor(1908.1007),tensor(1672.2909),tensor(499.8614),tensor(353.5794)
174.32785534463278,0,speed,tensor(1309.0767),tensor(1191.0602),tensor(562.7664),tensor(473.6074)
174.32785534463278,1,reer mirror,tensor(1128.7789),tensor(809.5203),tensor(339.4861),tensor(226.0902)
174.36792782243745,2,side mirror,tensor(1909.8204),tensor(1671.8009),tensor(500.7591),tensor(354.4982)
174.36792782243745,0,speed,tensor(1314.5619),tensor(1188.0151),tensor(564.7650),tensor(474.7597)
174.36792782243745,1,reer mirror,tensor(1122.6824),tensor(816.6202),tensor(337.3021),tensor(226.8463)
174.40800030024212,2,side mirror,tensor(1905.2999),tensor(1672.0148),tensor(498.8987),tensor(353.2478)
174.40800030024212,0,speed,tensor(1316.4808),tensor(1191.1964),tensor(562.3574),tensor(470.9161)
174.40800030024212,1,reer mirror,tensor(1129.5829),tensor(809.4593),tensor(340.9425),tensor(225.9104)
174.44807277804682,2,side mirror,tensor(1906.7164),tensor(1671.4790),tensor(499.0466),tensor(350.8517)
174.44807277804682,1,reer mirror,tensor(1127.8403),tensor(811.3901),tensor(340.7450),tensor(227.7720)
174.44807277804682,0,speed,tensor(1320.4519),tensor(1192.5222),tensor(563.1383),tensor(469.6769)
174.4881452558515,2,side mirror,tensor(1906.5374),tensor(1672.3389),tensor(499.8268),tensor(354.0511)
174.4881452558515,0,speed,tensor(1316.2168),tensor(1192.4037),tensor(560.7744),tensor(468.1518)
174.4881452558515,1,reer mirror,tensor(1130.4907),tensor(811.9960),tensor(340.8338),tensor(225.6425)
174.52821773365616,0,speed,tensor(1310.5173),tensor(1191.4696),tensor(556.7546),tensor(471.2493)
174.52821773365616,2,side mirror,tensor(1904.8712),tensor(1672.1434),tensor(498.2598),tensor(348.4536)
174.52821773365616,1,reer mirror,tensor(1124.9344),tensor(826.0203),tensor(335.0072),tensor(227.3356)
174.56829021146086,0,speed,tensor(1305.2026),tensor(1192.9515),tensor(557.3787),tensor(471.7749)
174.56829021146086,2,side mirror,tensor(1905.2179),tensor(1672.5908),tensor(502.2971),tensor(348.5209)
174.56829021146086,1,reer mirror,tensor(1127.7914),tensor(813.9752),tensor(338.4403),tensor(225.9419)
174.60836268926553,0,speed,tensor(1303.5964),tensor(1176.9698),tensor(560.8738),tensor(470.7477)
174.60836268926553,2,side mirror,tensor(1908.8339),tensor(1673.5137),tensor(502.9141),tensor(351.2184)
174.60836268926553,1,reer mirror,tensor(1126.2539),tensor(820.3828),tensor(335.3854),tensor(227.8212)
174.6484351670702,0,speed,tensor(1303.3700),tensor(1178.2134),tensor(567.5255),tensor(469.0162)
174.6484351670702,2,side mirror,tensor(1908.3707),tensor(1672.7605),tensor(502.6947),tensor(353.4496)
174.6484351670702,1,reer mirror,tensor(1120.0566),tensor(818.7186),tensor(334.6225),tensor(228.8998)
174.6885076448749,0,speed,tensor(1305.4352),tensor(1178.4445),tensor(567.2885),tensor(469.5193)
174.6885076448749,2,side mirror,tensor(1906.7697),tensor(1674.4883),tensor(500.8639),tensor(355.8795)
174.6885076448749,1,reer mirror,tensor(1122.9867),tensor(820.3508),tensor(335.1934),tensor(229.0032)
174.72858012267957,0,speed,tensor(1304.0509),tensor(1178.5815),tensor(566.0131),tensor(468.7204)
174.72858012267957,2,side mirror,tensor(1908.6765),tensor(1674.5791),tensor(500.9657),tensor(357.2059)
174.72858012267957,1,reer mirror,tensor(1121.9796),tensor(823.3608),tensor(334.6913),tensor(227.9541)
174.76865260048427,0,speed,tensor(1304.9103),tensor(1178.3899),tensor(567.0048),tensor(468.7772)
174.76865260048427,2,side mirror,tensor(1909.3474),tensor(1673.1919),tensor(501.6290),tensor(354.4452)
174.76865260048427,1,reer mirror,tensor(1122.1095),tensor(817.8696),tensor(334.6992),tensor(227.4894)
174.80872507828894,0,speed,tensor(1308.4897),tensor(1177.6565),tensor(569.5349),tensor(469.1847)
174.80872507828894,2,side mirror,tensor(1907.5060),tensor(1672.1005),tensor(503.8855),tensor(354.3688)
174.80872507828894,1,reer mirror,tensor(1127.5981),tensor(811.7956),tensor(338.9886),tensor(227.4213)
174.80872507828894,2,side mirror,tensor(347.7964),tensor(114.7480),tensor(652.0455),tensor(487.7900)
174.84879755609361,0,speed,tensor(1311.7781),tensor(1177.6965),tensor(569.7004),tensor(469.9659)
174.84879755609361,2,side mirror,tensor(1907.5781),tensor(1671.7925),tensor(503.2464),tensor(354.2592)
174.84879755609361,1,reer mirror,tensor(1120.8131),tensor(820.2957),tensor(335.0136),tensor(228.7781)
174.84879755609361,2,side mirror,tensor(341.0170),tensor(110.4749),tensor(631.0225),tensor(472.0045)
174.8888700338983,0,speed,tensor(1309.6495),tensor(1177.7633),tensor(569.0751),tensor(469.5463)
174.8888700338983,2,side mirror,tensor(1908.1287),tensor(1670.3677),tensor(501.7030),tensor(354.1953)
174.8888700338983,1,reer mirror,tensor(1118.4634),tensor(814.8199),tensor(336.8507),tensor(228.1923)
174.8888700338983,2,side mirror,tensor(342.3195),tensor(110.3270),tensor(638.2727),tensor(467.7290)
174.92894251170299,0,speed,tensor(1312.1079),tensor(1178.1390),tensor(567.1481),tensor(471.0498)
174.92894251170299,2,side mirror,tensor(1908.0326),tensor(1670.0131),tensor(500.8353),tensor(353.5083)
174.92894251170299,1,reer mirror,tensor(1119.9642),tensor(812.8026),tensor(335.3644),tensor(228.9776)
174.92894251170299,2,side mirror,tensor(340.8861),tensor(110.8304),tensor(635.8317),tensor(469.3367)
174.96901498950766,0,speed,tensor(1303.9365),tensor(1178.9967),tensor(565.2397),tensor(469.7268)
174.96901498950766,2,side mirror,tensor(1908.6156),tensor(1670.1207),tensor(501.5081),tensor(352.4957)
174.96901498950766,1,reer mirror,tensor(1119.9283),tensor(812.4101),tensor(335.3600),tensor(229.7852)
174.96901498950766,2,side mirror,tensor(349.4239),tensor(112.1073),tensor(653.1163),tensor(483.6403)
175.00908746731236,0,speed,tensor(1304.2700),tensor(1178.8682),tensor(565.0172),tensor(467.7430)
175.00908746731236,2,side mirror,tensor(1909.6854),tensor(1670.2285),tensor(501.6802),tensor(352.9918)
