Participant number,Scenario number,Saccade amplitude,Saccade velocity,Duration fixation,fixation in side mirror,fixation in rear mirror,fixation in speed,duration fixation in side mirror,duration fixation in rear mirror,duration fixation in speed,number speed in view,number rear mirror in view,number side mirror in view
310,2,86.24039552672748,1900.4090567842684,0.6155413101265824,0,18,4,0.0,0.44636005555555236,0.5009340000000009,2636,1885,2603
310,1,103.1601984807166,2143.785899893244,0.7106304016393457,0,7,18,0.0,0.33202914285714413,0.3740037777777769,2472,2341,4750
310,5,95.32531832292075,1986.4948354007452,0.8335163000000009,0,8,0,0.0,1.1495733749999992,0.0,2502,1380,2234
310,3,96.49005569640086,2088.1461487281445,0.8820606896551728,0,3,12,0.0,1.3558046666666712,0.7129519166666695,2022,2033,2737
310,8,66.95017232238408,1467.078125666761,0.34869332558139354,0,4,6,0.0,0.5159200000000013,0.6879109999999949,2904,418,1355
310,4,65.31994081104746,1415.7722413806673,0.40297531360946715,0,25,11,0.0,0.36785011999999656,0.4972783636363635,1807,819,870
311,2,125.44194468881567,2634.1829582185546,0.2899629677419362,0,0,1,0.0,0.0,0.36065300000001344,2110,607,1260
311,1,141.65710981209,3083.1671624125447,0.4054195265486735,2,45,6,0.05006249999999568,0.18433353333333413,0.19699600000000336,2579,2541,5104
311,8,97.49939732677754,1742.7651199597867,0.2897428443113795,0,5,14,0.0,0.412735599999985,0.21036121428571977,2962,800,1871
311,4,83.06721171998832,1824.857123205776,0.4558599421965318,0,10,20,0.0,0.04408000000000101,0.5960867500000007,2207,679,1029
312,2,72.6475134993675,1498.5515015318224,0.3245244145299165,0,2,15,0.0,0.3806884999999909,0.25510253333333327,2148,1510,3177
312,1,85.34171589707783,1815.718365948147,0.35807455307262537,0,3,32,0.0,0.38736766666667677,0.19911712499999945,1816,1843,3695
312,5,62.86725494238731,1687.205886515355,0.9459170350877207,0,0,3,0.0,0.0,0.4808703333333426,3000,2992,3286
312,3,92.7697301468344,2063.124271857152,1.2454950675675664,0,0,13,0.0,0.0,0.2543019230769221,2361,2396,2910
312,8,47.981316967421,1241.505569790051,0.2677001428571423,0,0,4,0.0,0.0,0.6111057500000001,2679,2668,3188
312,4,57.83528097776165,1453.3128413880434,0.490402551724138,0,1,4,0.0,0.08014599999999916,0.19031674999999737,1939,1901,2770
313,5,152.4471482128506,2255.2090933655923,0.19888078518518412,0,0,25,0.0,0.0,0.1386529599999983,2455,25,510
313,3,126.57737805387276,2042.8773372742207,0.4005966770186324,0,2,20,0.0,0.35060650000000493,0.12922564999999936,1814,890,1072
313,8,121.5924198468169,2266.6702270994683,0.4178147500000001,0,0,8,0.0,0.0,0.25296474999999674,2520,883,628
313,4,122.40331584942811,2048.4501324422777,0.3700633149171277,0,1,17,0.0,0.2605269999999962,0.27931258823529626,1941,121,220
