epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.22,1.93537,3.98453,1.47713,0.00951,0.66667,0.26997,0.12767,1.34154,3.61171,1.0406,0.00015719,0.00015719,0.00015719
2,226.619,1.56107,2.91668,1.20232,0.01238,0.93333,0.57082,0.34619,1.27415,3.42071,0.9242,0.000325416,0.000325416,0.000325416
3,346.279,1.51186,2.05126,1.18018,0.01285,0.93333,0.84837,0.54159,1.07244,3.23528,0.9228,0.000490247,0.000490247,0.000490247
4,464.96,1.40565,1.63106,1.20071,0.0128,0.93333,0.80174,0.42052,1.2846,3.27982,1.01725,0.000651683,0.000651683,0.000651683
5,596.367,1.44405,1.5752,1.20537,0.01216,0.9,0.77314,0.43768,1.25603,3.06787,1.04442,0.000809723,0.000809723,0.000809723
6,735.77,1.32198,1.35087,1.19388,0.01191,0.86667,0.62045,0.44999,1.17889,3.13009,1.06146,0.000964368,0.000964368,0.000964368
7,885.048,1.27941,1.23574,1.20699,0.01009,0.83333,0.65671,0.45344,1.32166,3.00809,1.05353,0.00111562,0.00111562,0.00111562
8,1049.42,1.36589,1.26656,1.2107,0.9704,0.57475,0.95706,0.64433,1.10672,2.37688,1.08895,0.00126347,0.00126347,0.00126347
9,1194.32,1.32,1.23037,1.1806,0.87766,0.67927,0.95561,0.62702,1.16205,2.08956,1.12027,0.00131582,0.00131582,0.00131582
10,1374.33,1.23688,1.07365,1.10649,0.9349,1,0.995,0.78519,1.05113,1.37183,1.04186,0.00130168,0.00130168,0.00130168
11,1551.23,1.23113,1.06028,1.12246,0.9341,0.9184,0.995,0.69121,1.04266,1.44203,1.07502,0.00128753,0.00128753,0.00128753
12,1731.05,1.20135,1.01607,1.10899,0.88239,0.95397,0.97985,0.72227,0.98461,1.22203,1.03524,0.00127338,0.00127338,0.00127338
13,1905.23,1.16755,0.96651,1.08957,0.93678,0.97609,0.98894,0.70211,1.05655,1.06576,1.07265,0.00125923,0.00125923,0.00125923
14,2022.39,1.16802,0.94776,1.10593,0.94809,0.94862,0.98548,0.68042,1.05386,1.06222,1.06652,0.00124509,0.00124509,0.00124509
15,2139.02,1.19316,0.98759,1.10825,0.98501,0.96667,0.98944,0.73026,0.9876,1.00344,1.05031,0.00123094,0.00123094,0.00123094
16,2255.95,1.20551,0.91081,1.10905,0.91836,0.97013,0.995,0.73886,1.00226,0.90293,1.09055,0.00121679,0.00121679,0.00121679
17,2375.37,1.14388,0.90585,1.07112,0.98711,0.9684,0.995,0.76309,0.94205,0.79864,1.07371,0.00120265,0.00120265,0.00120265
18,2499.3,1.14164,0.8738,1.07355,0.97608,0.94001,0.98731,0.75285,0.94327,0.82716,1.03766,0.0011885,0.0011885,0.0011885
19,2628.76,1.13247,0.88529,1.0928,0.98909,0.97989,0.995,0.73745,1.00312,0.76767,1.05685,0.00117435,0.00117435,0.00117435
20,2746.47,1.12909,0.85432,1.05909,0.9614,0.95579,0.995,0.712,1.10758,0.76531,1.07759,0.00116021,0.00116021,0.00116021
21,2868.75,1.11974,0.82777,1.07238,0.94392,0.96121,0.98944,0.76948,0.94534,0.74217,1.05741,0.00114606,0.00114606,0.00114606
22,2998.97,1.09753,0.80456,1.05579,0.95789,0.95837,0.99197,0.7483,0.98717,0.67089,1.04565,0.00113191,0.00113191,0.00113191
23,3119.7,1.0931,0.7945,1.06961,0.97266,0.96667,0.99197,0.73725,1.01772,0.68399,1.05114,0.00111776,0.00111776,0.00111776
24,3237.07,1.09701,0.79075,1.07103,0.98272,0.97157,0.995,0.75522,0.92955,0.71074,1.02708,0.00110362,0.00110362,0.00110362
25,3364.31,1.06779,0.76237,1.05419,0.96093,0.97045,0.995,0.77403,0.86554,0.66137,1.02537,0.00108947,0.00108947,0.00108947
26,3488.3,1.08741,0.74529,1.06452,0.95341,0.97179,0.995,0.73872,0.91379,0.68813,1.03054,0.00107532,0.00107532,0.00107532
27,3617.11,1.07902,0.76328,1.06579,0.98104,0.96667,0.99197,0.75491,0.8839,0.62397,1.03586,0.00106118,0.00106118,0.00106118
28,3741.07,1.06217,0.73938,1.05469,0.95782,0.96099,0.99197,0.7721,0.85437,0.68367,0.99187,0.00104703,0.00104703,0.00104703
29,3868.4,1.0745,0.75974,1.07937,0.97634,0.96667,0.99197,0.70919,0.95603,0.71997,1.04397,0.00103288,0.00103288,0.00103288
30,4003.5,1.02598,0.71667,1.04438,0.97277,0.96667,0.98731,0.76871,0.88572,0.66038,1.01585,0.00101873,0.00101873,0.00101873
31,4129.67,1.11847,0.74015,1.05646,0.98007,0.96667,0.98731,0.71326,1.03066,0.65947,1.05482,0.00100459,0.00100459,0.00100459
