participant number,Scenario number,index 1,index 2,dataframe eye,start drive,end drive,initial start eye,initial end eye,lag,new start eye,new end eye,star video,end video,start in,end in,video_path
11,3.0,1786,6790,data_eye\11_3.0_35.78471934814815.pkl,2022-10-26 09:33:12.984,2022-10-26 09:34:53.247,2022-10-26 09:32:35,2022-10-26 09:37:07.103383,-2.199281,2022-10-26 09:32:37.199281,2022-10-26 09:37:09.302664,35.78471934814815,136.04771934814815,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T083235Z\scenevideo.mp4
11,5.0,7579,12474,data_eye\11_5.0_151.85471934814814.pkl,2022-10-26 09:35:09.054,2022-10-26 09:36:47.141,2022-10-26 09:32:35,2022-10-26 09:37:07.103383,-2.199281,2022-10-26 09:32:37.199281,2022-10-26 09:37:09.302664,151.85471934814814,249.94171934814813,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T083235Z\scenevideo.mp4
11,4.0,726,5126,data_eye\11_4.0_14.546327122951539.pkl,2022-10-26 09:38:45.905,2022-10-26 09:40:14.061,2022-10-26 09:38:18,2022-10-26 09:45:56.390670,-13.358673,2022-10-26 09:38:31.358673,2022-10-26 09:46:09.749343,14.546327122951539,102.70232712295154,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T083818Z\scenevideo.mp4
11,8.0,15763,22879,data_eye\11_8.0_315.82232712295155.pkl,2022-10-26 09:43:47.181,2022-10-26 09:47:22.230,2022-10-26 09:38:18,2022-10-26 09:45:56.390670,-13.358673,2022-10-26 09:38:31.358673,2022-10-26 09:46:09.749343,315.82232712295155,530.8713271229516,True,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T083818Z\scenevideo.mp4
12,3.0,1238,5936,data_eye\12_3.0_24.80486957693344.pkl,2022-10-26 10:01:51.150,2022-10-26 10:03:25.278,2022-10-26 10:01:19,2022-10-26 10:06:16.618787,-7.34513,2022-10-26 10:01:26.345130,2022-10-26 10:06:23.963917,24.80486957693344,118.93286957693344,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T090119Z\scenevideo.mp4
12,5,7565,12363,data_eye\12_5_151.55486957693344.pkl,2022-10-26 10:03:57.900,2022-10-26 10:05:34.050,2022-10-26 10:01:19,2022-10-26 10:06:16.618787,-7.34513,2022-10-26 10:01:26.345130,2022-10-26 10:06:23.963917,151.55486957693344,247.70486957693345,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T090119Z\scenevideo.mp4
12,4,874,5103,data_eye\12_4_17.51170067534179.pkl,2022-10-26 10:07:34.334,2022-10-26 10:08:59.078,2022-10-26 10:07:07,2022-10-26 10:11:11.037946,-9.822299,2022-10-26 10:07:16.822299,2022-10-26 10:11:20.860245,17.51170067534179,102.25570067534179,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T090707Z\scenevideo.mp4
12,8.0,6503,12167,data_eye\12_8.0_130.29670067534178.pkl,2022-10-26 10:09:27.119,2022-10-26 10:11:20.610,2022-10-26 10:07:07,2022-10-26 10:11:11.037946,-9.822299,2022-10-26 10:07:16.822299,2022-10-26 10:11:20.860245,130.29670067534178,243.7877006753418,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T090707Z\scenevideo.mp4
13,4.0,434,4369,data_eye\13_4.0_8.695743217309502.pkl,2022-10-26 10:32:46.439,2022-10-26 10:34:05.273,2022-10-26 10:32:25,2022-10-26 10:35:58.606937,-12.743257,2022-10-26 10:32:37.743257,2022-10-26 10:36:11.350194,8.695743217309502,87.5297432173095,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T093225Z\scenevideo.mp4
13,8.0,5217,10218,data_eye\13_8.0_104.5227432173095.pkl,2022-10-26 10:34:22.266,2022-10-26 10:36:02.466,2022-10-26 10:32:25,2022-10-26 10:35:58.606937,-12.743257,2022-10-26 10:32:37.743257,2022-10-26 10:36:11.350194,104.5227432173095,204.7227432173095,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T093225Z\scenevideo.mp4
15,3.0,612,4642,data_eye\15_3.0_12.262179865771811.pkl,2022-10-26 10:52:24.120,2022-10-26 10:53:44.987,2022-10-26 10:52:05,2022-10-26 10:55:40.702251,-6.85782,2022-10-26 10:52:11.857820,2022-10-26 10:55:47.560071,12.262179865771811,93.12917986577182,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T095205Z\scenevideo.mp4
15,5.0,5732,10617,data_eye\15_5.0_115.48617986577182.pkl,2022-10-26 10:54:07.344,2022-10-26 10:55:46.812,2022-10-26 10:52:05,2022-10-26 10:55:40.702251,-6.85782,2022-10-26 10:52:11.857820,2022-10-26 10:55:47.560071,115.48617986577182,214.95417986577183,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T095205Z\scenevideo.mp4
15,4.0,2358,6436,data_eye\15_4.0_47.245466515065374.pkl,2022-10-26 10:56:55.817,2022-10-26 10:58:17.518,2022-10-26 10:56:30,2022-10-26 11:07:04.408154,21.428467,2022-10-26 10:56:08.571533,2022-10-26 11:06:42.979687,47.245466515065374,128.94646651506537,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T095630Z\scenevideo.mp4
